energy	'P3HT=0'	'5'	'10'	'15'	'20'	'30'	'40'	'50'	'60'	'70'	'80'	'90'	'95'	'100'
2.572614107883818	0.09728000000000001	0.10068	0.10992	0.11528	0.13113	0.17224	0.19825	0.2223	0.29111	0.32715	0.38683	0.46343	0.43561	0.48621
2.567287784679089	0.09794	0.1012	0.11031	0.11662	0.13208	0.17375	0.20094	0.2254	0.2955	0.33212	0.39134	0.46956	0.44032	0.49202
2.56198347107438	0.09497999999999999	0.10068	0.10994	0.11581	0.13127	0.1727	0.2016	0.22516	0.29667	0.33426	0.39533	0.47279	0.44292	0.49808
2.556701030927835	0.0984	0.10233	0.11112	0.11714	0.13317	0.17639	0.20441	0.22902	0.301	0.33818	0.3999	0.47856	0.44977	0.50226
2.551440329218107	0.09710000000000001	0.10085	0.10987	0.11703	0.13545	0.17667	0.20619	0.23051	0.30401	0.34299	0.40316	0.4835	0.45465	0.50757
2.546201232032854	0.09855999999999999	0.10184	0.11079	0.11845	0.13556	0.1793	0.20786	0.23351	0.306	0.34517	0.40805	0.48815	0.4598	0.5124300000000001
2.540983606557377	0.09907000000000001	0.10336	0.11268	0.11958	0.13641	0.18003	0.2091	0.2367	0.30954	0.34954	0.41199	0.49274	0.46383	0.5184
2.535787321063395	0.09963	0.10403	0.11341	0.12131	0.13686	0.18194	0.21245	0.23802	0.313	0.3522	0.41703	0.49882	0.46844	0.5223100000000001
2.530612244897959	0.0992	0.10391	0.11299	0.12129	0.13846	0.18417	0.21399	0.2405	0.31529	0.35553	0.41899	0.50291	0.47187	0.52616
2.525458248472505	0.09952999999999999	0.10513	0.11356	0.12178	0.13982	0.18587	0.21587	0.24232	0.31747	0.35864	0.42371	0.50805	0.4771	0.53133
2.520325203252033	0.10042	0.10514	0.11416	0.12268	0.13955	0.18685	0.21626	0.2436	0.32089	0.36202	0.42723	0.51107	0.4819	0.53744
2.515212981744422	0.10161	0.10655	0.11535	0.12409	0.14209	0.18885	0.22023	0.24616	0.32369	0.36528	0.43184	0.51675	0.48427	0.54008
2.510121457489879	0.10173	0.10715	0.11548	0.12467	0.14252	0.19065	0.22162	0.24816	0.32601	0.36834	0.43546	0.52139	0.48986	0.54513
